seed,alpha,rms_gospa,rms_missed,rms_false,final_birth_atoms,spurious_birth_atoms,birth_region_error
51,2.0,7.094408308471303,6.73145600891813,2.165063509461097,3,0,6.412472935932958
51,5.0,5.304011759414161,4.389855730355308,2.7950849718747373,6,0,1.667092437045433
51,10.0,5.080106374143437,3.75,3.307189138830738,10,1,0.9163457839184896
51,20.0,5.427090758956045,3.75,3.8188130791298667,15,1,0.9163457839184896
52,1.0,7.464095474298714,7.180703308172536,1.9094065395649333,2,0,8.106406191784574
52,2.0,7.464095474298714,7.180703308172536,1.9094065395649333,2,0,8.106406191784574
52,5.0,4.823828343969948,4.018187817080398,2.5,5,0,2.1557531630611098
52,10.0,3.966212819838686,2.9755951785595207,2.5,5,0,1.3725849777222257
52,20.0,4.094534532431158,3.0618621784789726,2.6020824993326657,5,0,1.4409082746924096
53,1.0,7.111164779720644,6.7700320038633,2.041241452319315,1,0,25.499098916732258
53,2.0,7.111164779720644,6.7700320038633,2.041241452319315,1,0,25.499098916732258
53,5.0,5.091304318272438,4.330127018922194,2.5,3,0,1.430053017975288
53,10.0,4.86651030249194,4.018187817080398,2.6020824993326657,4,0,1.0282038055762355
53,20.0,4.579939147587183,3.38501600193165,2.9755951785595207,9,0,1.27510826919241
54,1.0,6.954093100144352,6.692657668420421,1.7677669529663689,2,0,7.613881000778334
54,2.0,6.808656181171123,6.535161308899218,1.7677669529663689,4,0,5.607907634356034
54,5.0,3.9782717446376163,2.9755951785595207,2.5,5,0,1.291149203869361
54,10.0,4.195817271129103,2.886751345948129,2.7950849718747373,7,0,1.291149203869361
54,20.0,4.605126852034481,2.886751345948129,3.38501600193165,13,0,1.3529897254676744
55,1.0,6.938822600807046,6.73145600891813,1.613743060919757,1,0,25.539598362421675
55,2.0,4.450314045294004,3.8188130791298667,2.165063509461097,2,0,2.227480867712541
55,5.0,4.28420508232125,3.679900360969936,2.041241452319315,2,0,1.7719067704460807
55,10.0,4.409818195621624,3.8188130791298667,2.041241452319315,4,0,1.6373394331276878
55,20.0,4.695104959329547,3.75,2.7003086243366083,7,0,1.7194165153446197
56,1.0,7.021519047759103,6.7700320038633,1.7677669529663689,1,0,25.58212475586201
56,2.0,5.239223812345972,4.621056877670591,2.165063509461097,3,1,1.8494336801494966
56,5.0,4.472745775754373,3.8188130791298667,2.165063509461097,3,0,0.9621592415847444
56,10.0,4.3575424159946765,3.38501600193165,2.6020824993326657,7,0,0.9621592415847444
56,20.0,4.474823803738226,3.227486121839514,2.9755951785595207,10,0,0.9621592415847444
57,1.0,7.056763113089102,6.73145600891813,2.041241452319315,2,0,14.934299794192098
57,2.0,7.056763113089102,6.73145600891813,2.041241452319315,2,0,14.934299794192098
57,5.0,5.4599265803182755,4.677071733467427,2.7003086243366083,4,1,3.2804514279010117
57,10.0,4.089258908943515,2.886751345948129,2.7950849718747373,5,0,1.2317454371708414
57,20.0,4.570416292969446,2.886751345948129,3.4610932762158644,11,0,1.2317454371708414
58,1.0,7.054400554033202,6.692657668420421,2.165063509461097,3,0,13.167396569676217
58,2.0,7.054400554033202,6.692657668420421,2.165063509461097,3,0,13.167396569676217
58,5.0,5.314786183277661,4.5069390943299865,2.7003086243366083,4,0,2.7959335377032954
58,10.0,4.272802500775297,2.9755951785595207,2.9755951785595207,6,0,1.4319630408602444
58,20.0,4.743760605211507,2.9755951785595207,3.608439182435161,14,0,1.44119124361478
59,1.0,6.867771471638737,6.614378277661476,1.7677669529663689,1,0,25.501030136194586
59,2.0,4.457994187352057,3.608439182435161,2.5,3,0,1.7871070916360878
59,5.0,3.7840786395019155,2.6020824993326657,2.6020824993326657,5,0,1.1803421926702302
59,10.0,3.985191482216967,2.6020824993326657,2.886751345948129,8,0,1.1803421926702302
59,20.0,4.290987660853456,2.7950849718747373,3.1457643480294792,11,0,1.168073836764203
60,1.0,7.02047256219429,6.7700320038633,1.7677669529663689,1,0,25.50242922446283
60,2.0,7.094272454818008,6.7700320038633,2.041241452319315,2,0,14.47102661950452
60,5.0,4.22378352941183,3.227486121839514,2.6020824993326657,3,0,1.648233060090211
60,10.0,4.696953378407431,3.38501600193165,3.1457643480294792,5,0,1.716855510084586
60,20.0,4.796067236967061,3.307189138830738,3.38501600193165,9,0,1.079333718805839
61,1.0,6.875532488394046,6.653633092779714,1.613743060919757,1,0,25.499350745199077
61,2.0,6.912376373338873,6.692657668420421,1.613743060919757,2,0,23.612829140455318
61,5.0,4.062631696405443,2.886751345948129,2.7003086243366083,5,0,1.3089073420428834
61,10.0,4.250585406816121,2.886751345948129,2.9755951785595207,6,0,1.3089073420428834
61,20.0,4.311416198184943,2.886751345948129,3.0618621784789726,7,0,1.3089073420428834
62,1.0,7.228979199813803,6.997023176561111,1.613743060919757,3,0,21.180089552953092
62,2.0,7.228979199813803,6.997023176561111,1.613743060919757,3,0,21.180089552953092
62,5.0,4.028990777090218,2.9755951785595207,2.5,4,1,1.660965044111581
62,10.0,4.146066837561356,2.9755951785595207,2.7003086243366083,6,2,1.0442570105667832
62,20.0,4.330400699880557,2.9755951785595207,2.9755951785595207,9,2,1.0442570105667832
63,1.0,7.639504054915082,7.216878364870322,2.282177322938192,2,0,5.043939177943313
63,2.0,7.639504054915082,7.216878364870322,2.282177322938192,2,0,5.043939177943313
63,5.0,6.00034244813466,5.204164998665331,2.7003086243366083,5,2,2.4189951018068214
